"Source";"nr.results"
"Frontiers   About Edible Restaurants  Conflicts between Syntax and Semantics as Revealed by ERPs   Language Sciences";2
"Frontiers   Abstract Spatial Concept Priming Dynamically Influences Real-World Actions   Cognitive Science";16
"Frontiers   Accelerated long-term forgetting in aging and intra-sleep awakenings   Cognition";3
"Frontiers   Acoustic Mechanisms of a Species-Based";5
"Frontiers   Acoustic Processing of Temporally Modulated";19
"Frontiers   Action-Effect Bindings and Ideomotor Learning in Intention- and Stimulus-Based Actions   Cognition";20
"Frontiers   Action-Sentence Compatibility  The Role of Action Effects and Timing   Cognition";4
"Frontiers   Action Intentions Modulate Allocation of Visual Attention  Electrophysiological Evidence   Cognition";20
"Frontiers   Actions Seen through Babies’ Eyes  A Dissociation between Looking Time and Predictive Gaze   Cognition";33
"Frontiers   Adaptation to Antifaces and the Perception of Correct Famous Identity in an Average Face   Perception Science";23
"Frontiers   Adaptive Associations between Social Cognition and Emotion Regulation are Absent in Schizophrenia and Bipolar Disorder   Emotion Science";7
"Frontiers   Aesthetic and Emotional Effects of Meter and Rhyme in Poetry   Language Sciences";1
"Frontiers   Affective Privilege  Asymmetric Interference by Emotional Distracters   Cognition";16
"Frontiers   Affective salience can reverse the effects of stimulus-driven salience on eye movements in complex scenes   Emotion Science";4
"Frontiers   Age-Related Changes in Electrophysiological";14
"Frontiers   Age-related differences in affective responses to and memory for emotions conveyed by music  a cross-sectional study   Emotion Science";7
"Frontiers   Age-Related Differences in Working Memory Performance in A 2-Back Task   Cognition";39
"Frontiers   Age and educational track influence adolescent discounting of delayed rewards   Developmental Psychology";17
"Frontiers   Age Differences in Attention Lapses Mask Age Differences in Memory Failures  A Methodological Note on Suppression   Personality Science and Individual Differences";2
"Frontiers   Age does not count  resilience of quantity processing in healthy ageing   Developmental Psychology";1
"Frontiers   Aging and Audio-Visual and Multi-Cue Integration in Motion   Perception Science";49
"Frontiers   All inequality is not equal  children correct inequalities using resource value   Emotion Science";6
"Frontiers   Altered Frontal Cortical Volume and Decision Making in Adolescent Cannabis Users   Psychopathology";10
"Frontiers   Altered Social Reward and Attention in Anorexia Nervosa   Psychopathology";8
"Frontiers   An amodal shared resource model of language-mediated visual attention   Language Sciences";59
"Frontiers   An Assessment of Behavioral Dynamic Information Processing Measures in Audiovisual Speech Perception   Cognitive Science";8
"Frontiers   An Experimental Decision-Making";21
"Frontiers   An External Focus of Attention Enhances Manual Tracking of Occluded and Visible Targets   Movement Science and Sport Psychology";17
"Frontiers   An investigation of the validity of the virtual spatial navigation assessment   Cognition";3
"Frontiers   An Island of Stability  Art Images and Natural Scenes – but Not Natural Faces – Show Consistent Esthetic Response in Alzheimer’s-Related Dementia   Perception Science";3
"Frontiers   An Orthographic Effect in Phoneme Processing, and Its Limitations   Language Sciences";1
"Frontiers   Anger and the Speed of Full-Body Approach and Avoidance Reactions   Emotion Science";9
"Frontiers   Anger Elicitation in Tonga and Germany  The Impact of Culture on Cognitive Determinants of Emotions   Cultural Psychology";18
"Frontiers   Anomalous Motion Illusion Contributes to Visual Preference   Perception Science";23
"Frontiers   Anti-Voice Adaptation Suggests Prototype-Based Coding of Voice Identity   Perception Science";1
"Frontiers   Anticipatory Regulation of Action Control in a Simon Task  Behavioral, Electrophysiological, and fMRI Correlates   Cognition";45
"Frontiers   Are Chinese and";1
"Frontiers   Are Competition and Extrinsic Motivation Reliable Predictors of Academic Cheating    Educational Psychology";2
"Frontiers   Are the Products of Statistical Learning Abstract or Stimulus-Specific    Language Sciences";10
"Frontiers   Assessing Evidence for a Common Function of Delay in Causal Learning and Reward Discounting   Cognitive Science";10
"Frontiers   Assessing Signal-Driven Mechanisms in Neonates  Brain Responses to Temporally and Spectrally Different Sounds   Language Sciences";6
"Frontiers   Assistance dogs provide a useful behavioral model to enrich communicative skills of assistance robots   Comparative Psychology";8
"Frontiers   Asymmetric Coding of Categorical Spatial Relations in Both Language and Vision   Cognition";55
"Frontiers   Attending to One of Many  When Infants are Surprisingly Poor at Discriminating an Item's Size   Developmental Psychology";20
"Frontiers   Attention and Visuospatial Working Memory Share the Same Processing Resources   Cognition";30
"Frontiers   Attention capture by abrupt onsets  re-visiting the priority tag model   Cognition";1
"Frontiers   Attention Deficits Predict Phenotypic Outcomes in Syndrome-Specific and Domain-Specific Ways   Developmental Psychology";1
"Frontiers   Attentional Capture by Irrelevant Transients Leads to Perceptual Errors in a Competitive Change Detection Task   Cognitive Science";14
"Frontiers   Attentional Inhibition in Bilingual Naming Performance  Evidence from Delta-Plot Analyses   Cognition";41
"Frontiers   Attentional Routes to Conscious Perception   Consciousness Research";1
"Frontiers   Attribution of Intentional Causation Influences the Perception of Observed Movements  Behavioral Evidence and Neural Correlates   Perception Science";4
"Frontiers   Attributional and Relational Processing in Pigeons   Comparative Psychology";5
"Frontiers   Audio-visual onset differences are used to determine syllable identity for ambiguous audio-visual stimulus pairs   Language Sciences";33
"Frontiers   Audio-Vocal Monitoring System Revealed by Mu-Rhythm Activity   Language Sciences";2
"Frontiers   Auditory evoked fields elicited by spectral, temporal, and spectral-temporal changes in human cerebral cortex   Auditory Cognitive Neuroscience";12
"Frontiers   Auditory perception bias in speech imitation   Cognitive Science";1
"Frontiers   Auditory Stimulus Timing Influences Perceived duration of Co-Occurring Visual Stimuli   Perception Science";18
"Frontiers   Authentic and Play-Acted Vocal Emotion Expressions Reveal Acoustic Differences   Emotion Science";4
"Frontiers   Automated Symbolic Orienting  The Missing Link   Cognition";40
"Frontiers   Automatic detection of service initiation signals used in bars   Cognitive Science";14
"Frontiers   Balancing on a Slackline  8-Year-Olds vs. Adults   Movement Science and Sport Psychology";6
"Frontiers   Behavioral Assessment of Emotion Discrimination, Emotion Regulation, and Cognitive Control in Childhood, Adolescence, and Adulthood   Developmental Psychology";4
"Frontiers   Behavioral Evidence for Differences in Social and Non-Social Category Learning   Cognitive Science";33
"Frontiers   Behavioral Investigation of the Influence of Social Categorization on Empathy for Pain  A Minimal Group Paradigm Study   Cognitive Science";8
"Frontiers   Being a grump only makes things worse  a transactional account of acute stress on mind wandering   Perception Science";29
"Frontiers   Benefits and detriments of unilateral cochlear implant use on bilateral auditory development in children who are deaf   Auditory Cognitive Neuroscience";4
"Frontiers   Bilingual and Monolingual Children Attend to Different Cues When Learning New Words   Developmental Psychology";10
"Frontiers   Bilingual and monolingual children prefer native-accented speakers   Developmental Psychology";4
"Frontiers   Bilingual Picture–Word Studies Constrain Theories of Lexical Selection   Language Sciences";11
"Frontiers   Bilingualism and Creativity  Benefits in Convergent Thinking Come with Losses in Divergent Thinking   Cognition";7
"Frontiers   Bilingualism and Inhibitory Control Influence Statistical Learning of Novel Word Forms   Cognition";4
"Frontiers   Binding “When” and “Where” Impairs Temporal, but not Spatial Recall in Auditory and Visual Working Memory   Cognitive Science";4
"Frontiers   Bodily pleasure matters  velocity of touch modulates body ownership during the rubber hand illusion   Consciousness Research";26
"Frontiers   Brain Oscillations and Functional Connectivity during Overt Language Production   Language Sciences";2
"Frontiers   Breath holding duration as a measure of distress tolerance  examining its relation to measures of executive control   Personality Science and Individual Differences";1
"Frontiers   Broad Themes of Difference between French";2
"Frontiers   Buddha as an eye opener  A link between prosocial attitude and attentional control   Cognition";9
"Frontiers   Building a Bridge into the Future  Dynamic Connectionist Modeling as an Integrative Tool for Research on Intertemporal Choice   Cognition";5
"Frontiers   Can Changes in Eye Movement Scanning Alter the Age-Related Deficit in Recognition Memory    Cognitive Science";50
"Frontiers   Can Post-Error Dynamics Explain Sequential Reaction Time Patterns    Cognitive Science";14
"Frontiers   Categories and Range Effects in Human Spatial Memory   Comparative Psychology";12
"Frontiers   Category Processing and the human likeness dimension of the Uncanny Valley Hypothesis  Eye-Tracking Data   Cognitive Science";17
"Frontiers   Changes in Visual Object Recognition Precede the Shape Bias in Early Noun Learning   Developmental Psychology";12
"Frontiers   Changing the Tune  Listeners Like Music that Expresses a Contrasting Emotion   Emotion Science";21
"Frontiers   Child implant users' imitation of happy- and sad-sounding speech   Emotion Science";17
"Frontiers   Childhood Trauma and Chronic Illness";3
"Frontiers   Children's Brain Development Benefits from Longer Gestation   Developmental Psychology";1
"Frontiers   Children Using Cochlear Implants Capitalize on Acoustical Hearing for Music Perception   Auditory Cognitive Neuroscience";9
"Frontiers   Choice-Induced Preference Change in the Free-Choice Paradigm  A Critical Methodological Review   Cognition";1
"Frontiers   Cocaine Dependent Individuals and Gamblers Present Different Associative Learning";6
"Frontiers   Cognitive and Electrophysiological Correlates of the Bilingual Stroop Effect   Cognition";44
"Frontiers   Cognitive Control in Russian–German Bilinguals   Cognition";4
"Frontiers   Cognitive Processing in New and Practiced Discrete Keying Sequences   Cognition";57
"Frontiers   Color Improves Speed of Processing But Not Perception in a Motion Illusion   Consciousness Research";18
"Frontiers   Colour–Grapheme Synesthesia Affects Binocular Vision   Perception Science";9
"Frontiers   Combination Across Domains  An MEG Investigation into the Relationship between Mathematical, Pictorial, and Linguistic Processing   Language Sciences";7
"Frontiers   Combining Blink, Pupil, and Response Time Measures in a Concealed Knowledge Test   Cognitive Science";23
"Frontiers   Combining Temporal and Spectral";1
"Frontiers   Community structure in the phonological network   Language Sciences";16
"Frontiers   Competition for Cognitive Resources During Rapid Serial Processing  Changes Across Childhood   Developmental Psychology";18
"Frontiers   Computationally Modeling Interpersonal Trust   Cognitive Science";1
"Frontiers   Congenital Amusia (or Tone-Deafness) Interferes with Pitch Processing in Tone Languages   Auditory Cognitive Neuroscience";32
"Frontiers   Congruency between Word Position and Meaning is Caused by Task-Induced Spatial Attention   Cognition";10
"Frontiers   Conjoint measurement of disorder prevalence, test sensitivity, and test specificity  notes";1
"Frontiers   Conscious and Unconscious Thought in Risky";12
"Frontiers   Constraints on Letter-in-String Identification in Peripheral Vision  Effects of Number of Flankers and Deployment of Attention   Language Sciences";25
"Frontiers   Constructing Agency  The Role of Language   Cultural Psychology";7
"Frontiers   Context Effects in Embodied Lexical-Semantic Processing   Cognition";2
"Frontiers   Contextual Modulation of Physiological and Psychological Responses Triggered by Emotional Stimuli   Emotion Science";18
"Frontiers   Contrast Negation and Texture Synthesis Differentially Disrupt Natural Texture Appearance   Perception Science";8
"Frontiers   Contribution of coherent motion to the perception of biological motion among persons with Schizophrenia   Psychopathology";34
"Frontiers   Cortical Oscillations in Auditory Perception and Speech  Evidence for Two Temporal Windows in Human Auditory Cortex   Language Sciences";3
"Frontiers   Cross-Cultural Differences in the Processing of Non-Verbal Affective Vocalizations by Japanese and Canadian Listeners   Emotion Science";40
"Frontiers   Crossmodal Constraints on Human Perceptual Awareness  Auditory Semantic Modulation of Binocular Rivalry   Perception Science";10
"Frontiers   Cultural Differences in Affect Intensity Perception in the Context of Advertising   Cultural Psychology";33
"Frontiers   Cultural Differences in Professional Help Seeking  A Comparison of Japan and the U.S.   Cultural Psychology";19
"Frontiers   Culture shapes eye movements for visually homogeneous objects   Perception Science";4
"Frontiers   Decision-Making Based on Emotional Images   Emotion Science";3
"Frontiers   Decision-Making Under Risk in Children, Adolescents, and Young Adults   Developmental Psychology";15
"Frontiers   Decreased Right Temporal Activation and Increased Interhemispheric Connectivity in Response to Speech in Preterm Infants at Term-Equivalent Age   Language Sciences";3
"Frontiers   Deep Unsupervised Learning on a Desktop PC  A Primer for Cognitive Scientists   Cognitive Science";3
"Frontiers   Defining the Focus of Attention  Effects of Attention on Perceived Exertion and Fatigue   Movement Science and Sport Psychology";10
"Frontiers   Déjà vu experiences in healthy subjects are unrelated to laboratory tests of recollection and familiarity for word stimuli   Cognition";27
"Frontiers   Delaying gratification depends on social trust   Cognition";6
"Frontiers   Deriving Motor Primitives Through Action Segmentation   Cognition";3
"Frontiers   Detailed Sensory Memory, Sloppy Working Memory   Cognition";22
"Frontiers   Detecting Concealed Information from Groups Using a Dynamic Questioning Approach";3
"Frontiers   Detection of Near-Threshold Sounds is Independent of EEG Phase in Common Frequency Bands   Perception Science";10
"Frontiers   Developing Representations of Compound Stimuli   Developmental Psychology";6
"Frontiers   Differences between Spatial and Visual Mental Representations   Cognitive Science";2
"Frontiers   Differences in the Time Course of Learning for Hard Compared to Easy Training   Perception Science";14
"Frontiers   Different Effects of Numerical Magnitude on Visual and Proprioceptive Reference Frames   Cognition";11
"Frontiers   Differential mechanisms of action understanding in left and right handed subjects  the role of perspective and handedness   Cognition";6
"Frontiers   Differing Processing Abilities for Specific Face Properties in Mid-Childhood and Adulthood   Developmental Psychology";56
"Frontiers   Directing Attention Externally";1
"Frontiers   Discovering Words in Fluent Speech  The Contribution of Two Kinds of Statistical Information   Language Sciences";9
"Frontiers   Discriminability effect on Garner interference  evidence from recognition";27
"Frontiers   Disgust and Contamination  A Cross-National Comparison of Ghana and the United States   Cultural Psychology";14
"Frontiers   Dissociable Memory- and Response-Related Activity in Parietal Cortex During Auditory Spatial Working Memory   Auditory Cognitive Neuroscience";3
"Frontiers   Distinct Labels Attenuate 15-Month-Olds’ Attention to Shape in an Inductive Inference Task   Developmental Psychology";4
"Frontiers   Distraction of Symbolic Behavior in Regular Classrooms   Educational Psychology";1
"Frontiers   Do Intensive Studies of a Foreign Language Improve Associative Memory Performance    Cognition";2
"Frontiers   Do Not Respond! Doing the Think No-Think and Go";10
"Frontiers   Do Owners Have a Clever Hans Effect on Dogs  Results of a Pointing Study   Comparative Psychology";9
"Frontiers   Do Personality Traits Predict Individual Differences in Excitatory and Inhibitory Learning    Personality Science and Individual Differences";27
"Frontiers   Do Social Conditions Affect Capuchin Monkeys’ (Cebus apella) Choices in a Quantity Judgment Task    Comparative Psychology";5
"Frontiers   Do Spanish–English Bilinguals have Their Fingers in Two Pies – or is It Their Toes  An Electrophysiological Investigation of Semantic Access in Bilinguals   Cognition";17
"Frontiers   Do the Dynamics of Prior Information Depend on Task Context  An Analysis of Optimal Performance and an Empirical Test   Cognitive Science";7
"Frontiers   Does “Task Difficulty” Explain “Task-Induced Deactivation ”   Cognition";16
"Frontiers   Does area V3A predict positions of moving objects    Perception Science";2
"Frontiers   Does Attentional Selectivity in the Flanker Task Improve Discretely or Gradually    Cognitive Science";16
"Frontiers   Does Explicit Expectation Really Affect Preparation    Cognition";31
"Frontiers   Does Imitation Facilitate Word Recognition in a Non-Native Regional Accent    Cognition";14
"Frontiers   Does interoceptive awareness affect the ability to regulate unfair treatment by others    Emotion Science";19
"Frontiers   Does It Really Matter  Separating the Effects of Musical Training on Syntax Acquisition   Language Sciences";1
"Frontiers   Does Playing Experience Improve Coaching  An Exploratory Study of Perceptual-Cognitive Skill in Soccer Coaches   Movement Science and Sport Psychology";20
"Frontiers   Does the Butcher-on-the-Bus Phenomenon Require a Dual-Process Explanation  A Signal Detection Analysis   Cognitive Science";9
"Frontiers   DOOM'd to switch  superior cognitive flexibility in players of first person shooter games   Cognition";11
"Frontiers   Dual-Processing Altruism   Personality Science and Individual Differences";7
"Frontiers   Duration Judgments Over Multiple Elements   Perception Science";23
"Frontiers   Dysphoric Mood States are Related to Sensitivity to Temporal Changes in Contingency   Perception Science";17
"Frontiers   Early and Sustained Supramarginal Gyrus Contributions to Phonological Processing   Language Sciences";20
"Frontiers   Early Deafness Increases the Face Inversion Effect But Does Not Modulate the Composite Face Effect   Perception Science";47
"Frontiers   Early ERP Modulation for Task-Irrelevant Subliminal Faces   Emotion Science";16
"Frontiers   Early ERP Signature of Hearing Impairment in Visual Rhyme Judgment   Auditory Cognitive Neuroscience";10
"Frontiers   Early Goal-Directed Top-Down Influences in the Production of Speech   Language Sciences";13
"Frontiers   EEG Correlates of Song Prosody  A New Look at the Relationship between Linguistic and Musical Rhythm   Auditory Cognitive Neuroscience";5
"Frontiers   Effects of a School-Based Instrumental Music Program on Verbal and Visual Memory in Primary School Children  A Longitudinal Study   Auditory Cognitive Neuroscience";18
"Frontiers   Effects of Cognitive, Motor, and Karate Training on Cognitive Functioning and Emotional Well-Being of Elderly People   Movement Science and Sport Psychology";3
"Frontiers   Effects of Consciousness and Consistency in Manual Control of Visual Stimulus on Reduction of the Flash-Lag Effect for Luminance Change   Consciousness Research";8
"Frontiers   Effects of Delayed Visual Feedback on Grooved Pegboard Test Performance   Perception Science";44
"Frontiers   Effects of Empathic Paraphrasing – Extrinsic Emotion Regulation in Social Conflict   Emotion Science";1
"Frontiers   Effects of Higher-Order Cognitive Strategy Training on Gist-Reasoning and Fact-Learning in Adolescents   Educational Psychology";19
"Frontiers   Effects of Music Listening on Cortisol Levels and Propofol Consumption during Spinal Anesthesia   Auditory Cognitive Neuroscience";7
"Frontiers   Effects of Outcomes and Random Arbitration on Emotions in a Competitive Gambling Task   Emotion Science";21
"Frontiers   Effects of PPP1R1B (DARPP-32) Polymorphism on Feedback-Related Brain Potentials Across the Life Span   Decision Neuroscience";5
"Frontiers   Effects of Practice and Experience on the Arcuate Fasciculus  Comparing Singers, Instrumentalists, and Non-Musicians   Auditory Cognitive Neuroscience";11
"Frontiers   Effects of Social Support by a Dog on Stress Modulation in Male Children with Insecure Attachment   Educational Psychology";1
"Frontiers   Effects of Speech Rate and Practice on the Allocation of Visual Attention in Multiple Object Naming   Cognition";43
"Frontiers   Effects of Stimulus Type and Level Repetition on Content-Level Binding in Global Local Processing   Perception Science";40
"Frontiers   Effects of Temporal Features and Order on the Apparent duration of a Visual Stimulus   Perception Science";6
"Frontiers   Electrophysiological Cross-Language Neighborhood Density Effects in Late and Early English-Welsh Bilinguals   Language Sciences";27
"Frontiers   Electrophysiological Potentials Reveal Cortical Mechanisms for Mental Imagery, Mental Simulation, and Grounded (Embodied) Cognition   Perception Science";10
"Frontiers   Emotion and Deliberative Reasoning in Moral Judgment   Emotion Science";35
"Frontiers   Emotional Communication in Speech and Music  The Role of Melodic and Rhythmic Contrasts   Emotion Science";21
"Frontiers   Emotional Mimicry in Social Context  The Case of Disgust and Pride   Emotion Science";24
"Frontiers   Emotions in “the world”  cultural practices, products, and meanings of anger and";14
"Frontiers   Empathy for Pain from Adolescence through Adulthood  An Event-Related Brain Potential Study   Emotion Science";18
"Frontiers   Empathy in Hippocampal Amnesia   Cognition";8
"Frontiers   Enactment of Third-Party Punishment by 4-Year-Olds   Developmental Psychology";8
"Frontiers   Encoding Conditions Affect Recognition of Vocally Expressed Emotions Across Cultures   Emotion Science";8
"Frontiers   Enhanced Expectancies Improve Performance Under Pressure   Movement Science and Sport Psychology";6
"Frontiers   Enhancement of Speech-Relevant Auditory Acuity in Absolute Pitch Possessors   Language Sciences";6
"Frontiers   Envy, Politics, and Age   Personality Science and Individual Differences";6
"Frontiers   Epidural Auditory Event-Related Potentials in the Rat to Frequency and duration Deviants  Evidence of Mismatch Negativity    Auditory Cognitive Neuroscience";39
"Frontiers   Episodic and Semantic Autobiographical Memory and Everyday Memory during Late Childhood and Early Adolescence   Developmental Psychology";3
"Frontiers   ERP Evidence for Scarce Rule Representation in Older Adults Following Short, but Not Long Preparatory Intervals   Cognition";38
"Frontiers   ERP Evidence for Ultra-Fast Semantic Processing in the Picture–Word Interference Paradigm   Language Sciences";13
"Frontiers   Evaluating the Role of Attention in the Context of Unconscious Thought Theory  Differential Impact of";24
"Frontiers   Evaluative Conditioning Induces Changes in Sound Valence   Emotion Science";13
"Frontiers   Event-Related Theta Power during Lexical";29
"Frontiers   Everyday attention and lecture retention  the effects of time, fidgeting, and mind wandering   Perception Science";28
"Frontiers   Evidence for Arousal-Biased Competition in Perceptual Learning   Emotion Science";18
"Frontiers   Examining the Presence and Determinants of Operational Momentum in Childhood   Developmental Psychology";41
"Frontiers   Expectancy Learning from Probabilistic Input by Infants   Developmental Psychology";15
"Frontiers   Expertise in Clinical Psychology. The Effects of University Training and Practical Experience on Expertise in Clinical Psychology   Psychology for Clinical Settings";17
"Frontiers   Explicit Learning of Arbitrary and Non-Arbitrary Action–Effect Relations in Adults and 4-Year-Olds   Developmental Psychology";13
"Frontiers   Exploring Modality Switching Effects in Negated Sentences  Further Evidence for Grounded Representations   Cognitive Science";8
"Frontiers   Exploring the Overestimation of Conjunctive Probabilities   Cognitive Science";32
"Frontiers   Expressing and Amplifying Positive Emotions Facilitate Goal Attainment in Workplace Interactions   Emotion Science";1
"Frontiers   Eye Movement Monitoring Reveals Differential Influences of Emotion on Memory   Emotion Science";22
"Frontiers   Eyes on the Mind  Investigating the Influence of Gaze Dynamics on the Perception of Others in Real-Time Social Interaction   Cognitive Science";12
"Frontiers   Face adaptation effects show strong and long-lasting transfer from lab to more ecological contexts   Perception Science";5
"Frontiers   Face Context Advantage Explained by Vernier and Separation Discrimination Acuity   Perception Science";2
"Frontiers   Face Distortion Aftereffects Evoked by Featureless First-Order Stimulus Configurations   Perception Science";37
"Frontiers   Face puzzle—two new video-based tasks for measuring explicit and implicit";4
"Frontiers   Facial Emotion and Identity Processing Development in 5- to 15-Year-Old Children   Developmental Psychology";51
"Frontiers   Facilitated Auditory Detection for Speech Sounds   Auditory Cognitive Neuroscience";44
"Frontiers   Factors Determining Semantic Facilitation and Interference in the Cyclic Naming Paradigm   Language Sciences";16
"Frontiers   Fairness Considerations When I Know More than You Do  Developmental Comparisons   Developmental Psychology";12
"Frontiers   False Belief vs. False Photographs  A Test of Theory of Mind or Working Memory    Cognition";15
"Frontiers   Fast and Famous  Looking for the Fastest Speed at Which a Face Can be Recognized   Cognitive Science";2
"Frontiers   Fast Mapping Across Time  Memory Processes Support Children’s Retention of Learned Words   Developmental Psychology";9
"Frontiers   Fast Mapping of Novel Word Forms Traced Neurophysiologically   Cognition";7
"Frontiers   Feature Integration Across the Lifespan  Stickier Stimulus–Response Bindings in Children and Older Adults   Cognition";26
"Frontiers   Feedforward Self-Modeling Enhances Skill Acquisition in Children Learning Trampoline Skills   Movement Science and Sport Psychology";3
"Frontiers   Fingers Phrase Music Differently  Trial-to-Trial Variability in Piano Scale Playing and Auditory Perception Reveal Motor Chunking   Auditory Cognitive Neuroscience";33
"Frontiers   Five- to 7-Year-Olds’ Finger Gnosia and Calculation Abilities   Cognition";17
"Frontiers   Fixation patterns during recognition of personally familiar and unfamiliar faces   Cognitive Science";7
"Frontiers   Fixations on objects in natural scenes  dissociating importance from salience   Perception Science";2
"Frontiers   Flexibility in data interpretation  effects of representational format   Cognitive Science";18
"Frontiers   Foresight beyond the very next event  four-year-olds can link past and deferred future episodes   Perception Science";4
"Frontiers   Framing Attention in Japanese and American Comics  Cross-Cultural Differences in Attentional Structure   Cultural Psychology";26
"Frontiers   French College Students’ Sports Practice and Its Relations with Stress, Coping Strategies and Academic Success   Educational Psychology";7
"Frontiers   Frequent external focus feedback enhances motor learning   Movement Science and Sport Psychology";9
"Frontiers   From Reference to Sense  How the Brain Encodes Meaning for Speaking   Cognition";9
"Frontiers   Functional and structural brain modifications induced by oculomotor training in patients with";2
"Frontiers   Functional Lateralization of Speech Processing in Adults and Children Who Stutter   Language Sciences";18
"Frontiers   Gender Differences in Personality across the Ten Aspects of the Big Five   Personality Science and Individual Differences";15
"Frontiers   Genetic Modulation of Training and Transfer in Older Adults  BDNF Val66Met Polymorphism is Associated with Wider Useful Field of View   Cognition";11
"Frontiers   German and Korean mothers' sensitivity and related parenting beliefs   Cultural Psychology";17
"Frontiers   Gesture Facilitates the Syntactic Analysis of Speech   Language Sciences";29
"Frontiers   Get the Story Straight  Contextual Repetition Promotes Word Learning from Storybooks   Developmental Psychology";26
"Frontiers   Getting into the musical zone  trait emotional intelligence and amount of practice predict flow in pianists   Cognitive Science";1
"Frontiers   Goal-Side Selection in Soccer Penalty Kicking When Viewing Natural Scenes   Cognition";2
"Frontiers   Goal Salience Affects Infants’ Goal-Directed Gaze Shifts   Cognition";5
"Frontiers   Grammar in Art   Cultural Psychology";7
"Frontiers   Grammatical Gender Inhibition in Bilinguals   Cognition";8
"Frontiers   Group Schema Therapy for Eating Disorders  A Pilot Study   Psychology for Clinical Settings";9
"Frontiers   Happily Distracted  Mood and a Benefit of Attention Dysregulation in Older Adults   Emotion Science";4
"Frontiers   Healthy Older Observers Show Equivalent Perceptual-Cognitive Training Benefits to Young Adults for Multiple Object Tracking   Perception Science";8
"Frontiers   High and Mighty  Implicit Associations between Space and Social Status   Cognition";3
"Frontiers   High Resolution, High Capacity, Spatial Specificity in Perceptual Learning   Perception Science";1
"Frontiers   High school music classes enhance the neural processing of speech   Educational Psychology";5
"Frontiers   Holistic Processing for Other-Race Faces in Chinese Participants Occurs for Upright but Not Inverted Faces   Perception Science";11
"Frontiers   Holistic Representations of Internal and External Face Features are Used to Support Recognition   Cognitive Science";66
"Frontiers   Horizontal Information Drives the Behavioral Signatures of Face Processing   Perception Science";21
"Frontiers   Hot or Not  Response Inhibition Reduces the Hedonic Value and Motivational Incentive of Sexual Stimuli   Emotion Science";16
"Frontiers   How “Social” is the social Simon effect    Cognition";15
"Frontiers   How Body Balance Influences Political Party Evaluations  A Wii Balance Board Study   Cognitive Science";4
"Frontiers   How Category Structure Influences the Perception of Object Similarity  The Atypicality Bias   Perception Science";3
"Frontiers   How Crawling and Manual Object Exploration are Related to the Mental Rotation Abilities of 9-Month-Old Infants   Developmental Psychology";9
"Frontiers   How Different is Different  Criterion and Sensitivity in Face-Space   Perception Science";4
"Frontiers   How Do Incentives Lead to Deception in Advisor–Client Interactions  Explicit and Implicit Strategies of Self-Interested Deception   Cognitive Science";40
"Frontiers   How Do We Update Faces  Effects of Gaze Direction and Facial Expressions on Working Memory Updating   Cognition";13
"Frontiers   How Does Language Change Perception  A Cautionary Note   Cognition";6
"Frontiers   How Each Prosodic Boundary Cue Matters  Evidence from German Infants   Language Sciences";9
"Frontiers   How fast is famous face recognition    Perception Science";9
"Frontiers   How few and far between  Examining the effects of probe rate on self-reported mind wandering   Perception Science";1
"Frontiers   How Linguistic Chickens Help Spot Spoken-Eggs  Phonological Constraints on Speech Identification   Language Sciences";10
"Frontiers   How Many Objects are You Worth  Quantification of the Self-Motion Load on Multiple Object Tracking   Cognition";14
"Frontiers   How much imitation is there in a shadowing task    Cognitive Science";34
"Frontiers   How Noisy is Lexical Decision    Language Sciences";1
"Frontiers   How Positive Affect Modulates Proactive Control  Reduced Usage of Informative Cues Under Positive Affect with Low Arousal   Cognition";33
"Frontiers   How Task Goals Mediate the Interplay between Perception and Action   Cognitive Science";7
"Frontiers   How to measure wisdom  content, reliability, and validity of five measures   Personality Science and Individual Differences";5
"Frontiers   How Vision Affects Kinematic Properties of Pantomimed Prehension Movements   Cognitive Science";30
"Frontiers   How well do you see what you hear  The acuity of visual-to-auditory sensory substitution   Cognitive Science";4
"Frontiers   Humans Anticipate the Goal of other People’s Point-Light Actions   Perception Science";7
"Frontiers   Identification of Changes along a Continuum of Speech Intonation is Impaired in Congenital Amusia   Auditory Cognitive Neuroscience";5
"Frontiers   Identifying Sources of Configurality in Three Face Processing Tasks   Perception Science";2
"Frontiers   Identity Profiles and Well-Being of Multicultural Immigrants  The Case of Canadian Immigrants Living in Quebec   Cultural Psychology";10
"Frontiers   If You Know Something, Say Something  Young Children's Problem with False Beliefs   Developmental Psychology";7
"Frontiers   Illusory Motion and Mislocalization of Temporally Offset Target in Apparent Motion Display   Consciousness Research";9
"Frontiers   Illusory Reversal of Causality between Touch and Vision has No Effect on Prism Adaptation Rate   Perception Science";6
"Frontiers   Imaging When Acting  Picture but Not Word Cues Induce Action-Related Biases of Visual Attention   Cognition";15
"Frontiers   Imagining Other People’s Experiences in a Person with Impaired Episodic Memory  The Role of Personal Familiarity   Cognition";21
"Frontiers   Impact of cognitive and linguistic ability on gaze behavior in children with hearing impairment   Language Sciences";15
"Frontiers   Impaired Executive Functioning in Subclinical Compulsive Checking with Ecologically Valid Stimuli in a Working Memory Task   Psychopathology";31
"Frontiers   Impaired Global, and Compensatory Local, Biological Motion Processing in People with High Levels of Autistic Traits   Perception Science";19
